trigram,trigram_frequency
گم کیجے ہم,3
گم کیا ہوا,3
گلیوں میں میری,3
نے اپنا دل,3
کرے ہے تقاضا,3
نے اک شور,3
ہے کہ یہ,3
کا دل کرے,3
آہ میں میرا,3
آہ جو قطرہ,3
آہ بے اثر,3
اب دیکھا تو,3
گل و لالہ,3
ہے یہ وقت,3
نے زخم پر,3
دیدہ و دل,3
کی انجمن میں,3
شکایت کیجے ہم,3
تری بزم سے,3
اثر دیکھی نالہ,3
جانتا ہے کہ,3
شوق ہر رنگ,3
گیا جو نہ,3
نہیں معلوم لیکن,3
سخت مشکل ہے,3
سرکش نہ دبا,3
بے اثر دیکھی,3
ہے وہ ہر,3
دراز کا صرفہ,3
گہر ہائے راز,3
دیکھا گم کیا,3
میری نعش کو,3
آپ سے کوئی,3
کا تو اور,3
کی شکایت کیجے,3
مجھ کو یہ,3
مجھ کو ہونے,3
اب میں ہوں,3
نے زیست کا,3
سر شیشہ باز,3
دنیا جل گیا,3
سادگی و پرکاری,3
نہ ہوا ہے,3
ہوا دیکھا گم,3
ہوئی مدت کہ,3
کھینچے پھرو کہ,3
نوا ہائے راز,3
باز کا کاوش,3
نمک چھڑکا آپ,3
حسرت زدہ تھا,3
ہوا دل گزر,3
بادہ سے شیشے,3
میں نے چاہا,3
اور سوئے غیر,3
رنگ و بو,3
ہوا میں نے,3
کو پر اب,3
ہوا کس سے,3
حسن کو تغافل,3
میں ہے کہ,3
اندوہِ عشق کی,3
خط سے ترا,3
نکلا بوئے گل,3
نکلا تھا سو,3
پوچھ حال ہر,3
قدر یعنی ہم,3
ہے اس کی,3
عشق کو پر,3
زخم پر نمک,3
زخم نے داد,3
عشقِ نبرد پیشہ,3
پوچھے تم نے,3
کہ تھا دفینہ,3
پڑا پایا دل,3
حال ہر ذرہ,3
نکلا قیس تصویر,3
نکلا سو پریشاں,3
نکلا زخم نے,3
نکلا دل میں,3
پیچ و خم,3
ہوا ہوں ترے,3
بابِ نبرد تھا,3
ہونے نے نہ,3
اپنا دل خوں,3
ناصح نے زخم,3
حیات و بند,3
پہ قرض اس,3
ہوں ایک ہی,3
ہوں ترے وعدہ,3
اگر پڑا پایا,3
غنچہ پھر لگا,3
اچھل رہے ہر,3
نبرد پیشہ طلبگارِ,3
نبرد تھا عشقِ,3
کوئی پوچھے تم,3
غیر نظر ہائے,3
اک شور اٹھایا,3
کوئی کشمکش اندوہِ,3
ہی سہی گر,3
ناز کا تو,3
کو کھینچے پھرو,3
ہی نوا ہائے,3
ہوا ہے یہ,3
پھرو کہ میں,3
نعش کو کھینچے,3
کچھ نہ ہوتا,3
ہوتا تو خدا,3
مے و ساغر,3
نظر ہائے تیز,3
ہوتا نہ تھا,3
پیشہ طلبگارِ مرد,3
خدا تھا کچھ,3
پیشتر بھی مِرا,3
ناخن پہ قرض,3
پہ بھی راضی,3
کچھ بھی نہیں,3
نظارہ ہے یہ,3
عشق سے طبیعت,3
عریاں نکلا زخم,3
نہ ہوا ہوں,3
طبیعت نے زیست,3
ہے سر شیشہ,3
خوں کیا ہوا,3
چھڑکا آپ سے,3
جو تو نے,3
بھی آساں نکلا,3
کہ یہ کام,3
ہشیاری حسن کو,3
کہ یوں ہوتا,3
نہ بابِ نبرد,3
نہ کرنے میں,3
نہ کرسکے زنداں,3
پر یاد آتا,3
بھر نہیں آتی,3
اسدِ خستہ جاں,3
جو قطرہ نہ,3
لب و دنداں,3
جو تری بزم,3
نہ ہو تو,3
ساز کا رنگ,3
رات بھر نہیں,3
کہنا کہ یوں,3
نہ ہوا کس,3
ہر ایک بات,3
بھی نہ ہوا,3
کم جانتے تھے,3
بھی مِرا رنگ,3
کہتے ہو نہ,3
ساغر ہی سہی,3
بھی عریاں نکلا,3
نہ ہوا دل,3
ہر رنگ میں,3
میں جرأت آزما,3
بھی راضی کہ,3
بھی راضی نہ,3
کہاں کہ گم,3
راضی نہ ہوا,3
راضی کہ کبھی,3
کہ ہے ہنوز,3
ہے تیری تو,3
افعی نہ ہوا,3
میں مر گیا,3
نہ دبا یہ,3
ہے تقاضا کہ,3
کہ مر جائیں,3
ہنوز ناخن پہ,3
میں میرا وگرنہ,3
پسند سخت مشکل,3
میں میری نعش,3
بساط ہے سر,3
قطرہ نہ نکلا,3
میں نہ ہو,3
بزم میں وہ,3
بزم سے نکلا,3
قسمت کی شکایت,3
کہ میں جاں,3
میں لے کے,3
ہم دل اگر,3
قید حیات و,3
جو نہ بابِ,3
پردے میں بھی,3
نہ نکلا تھا,3
زیست کا مزا,3
کہ گم کیجے,3
طلبگارِ مرد تھا,3
ہم نے اپنا,3
لاشِ بے کفن,3
کہ کبھی گوش,3
ہم نے چاہا,3
ہم کو بھی,3
کو تغافل میں,3
بند غم اصل,3
میں فقط مستی,3
قیس تصویر کے,3
وہ لفظ کہ,3
ہائے ناز کا,3
سے کوئی پوچھے,3
تیغ آب دار,3
وہ خاک کہ,3
تیز تیز میں,3
تھا اب میں,3
آتا ہے وہ,3
تھا سو طوفاں,3
سینہ کہ تھا,3
کیا مزا پایا,3
جائیں سو وہ,3
سے نکلا سو,3
و ساغر ہی,3
مر گیا جو,3
تو ہی نوا,3
معلوم لیکن اس,3
تھا کچھ نہ,3
وہ بھی نہ,3
کا کاوش کا,3
دل معلوم آہ,3
مرد تھا شوق,3
سو پریشاں نکلا,3
تھا شوق ہر,3
دل کرے ہے,3
یار تھا اب,3
سو وہ بھی,3
تم نے کیا,3
آزما پایا غنچہ,3
معلوم آہ بے,3
کیوں رات بھر,3
تھے ہم بھی,3
مِرا رنگ زرد,3
تیز میں اور,3
سے چھوٹوں وہ,3
یہ لاشِ بے,3
کا نہ پوچھ,3
گداز کا ہیں,3
یہ وہ لفظ,3
سے طبیعت نے,3
یہ کام بھی,3
دل و جاں,3
یاروں کا بہ,3
دھمکی میں مر,3
وفا کا نہ,3
یہ وقت ہے,3
سے شیشے اچھل,3
سوئے غیر نظر,3
کام بھی آساں,3
یوں ہوتا تو,3
وعدہ نہ کرنے,3
آرزو توڑا جو,3
مر جائیں سو,3
و دنداں نکلا,3
توڑا جو تو,3
مرنے پہ بھی,3
معنی نہ ہوا,3
کیا ہے یہ,3
تھا دفینہ گہر,3
و نظر کا,3
تھا کم جانتے,3
تمثال دار تھا,3
دل نہیں معلوم,3
مدت کہ غالب,3
مرے مرنے پہ,3
کر رہا ہے,3
تھا کہ مر,3
دل و نظر,3
سو طوفاں نکلا,3
دل میں پھر,3
وحشت نہ کرسکے,3
آج ہم نے,3
دل کہاں کہ,3
و بند غم,3
آب دار تھا,3
دل خوں کیا,3
کیا ہوا دیکھا,3
وفا سے چھوٹوں,3
آساں نکلا دل,3
تھا عشقِ نبرد,3
تھا یہ لاشِ,3
کا ہیں بسکہ,3
کا مزا پایا,3
کیا ہوا پایا,3
کام یاروں کا,3
کبھی گوش منت,3
یعنی ہم نے,3
و ہشیاری حسن,3
محفل جو تری,3
سہی گر نفس,3
موت کا ایک,3
کاوش کا دل,3
تو اور سوئے,3
برا تھا مرنا,2
برا نہ ہوا,2
نگہ نایاب تھا,2
بر نہیں آتی,2
بر کو دیکھتے,2
باندھے ہوئے جاتا,2
کہ دلّی میں,2
کہ دل ہے,2
جی میں ہے,2
کہ دل کو,2
کہ دل دیکھ,2
پوچھ اقبال کا,2
پڑے رہیں سر,2
زدہ تھا مائدہٴ,2
حجابی کا عام,2
عناں گیرِ خرام,2
کہ ذوقِ کاوشِ,2
زر کم عیار,2
بالشِ کمخواب تھا,2
جہاں سے ہم,2
برگ گل بنا,2
عز و ناز,2
حد سے گزری,2
عزیز اس کی,2
پھر ایک بار,2
بالش کف سیلاب,2
نہ آئے کیوں,2
برقِ سوزِ دل,2
برق کی کرتا,2
ہو دین و,2
نہ آئیں ھو,2
سے بزمِ چراغاں,2
برا کیا ہے,2
وفا زنداں سے,2
عنقا ہے اپنے,2
عنقا جل گیا,2
حجاز کی خامشی,2
زلفِ سیاہ رُخ,2
توڑ سکتا اگر,2
زلف ہیں زنجیر,2
بام پر ہوس,2
ہو مجھ کو,2
پهر کسی کو,2
کیوں واں وہ,2
باندھا گیا تھا,2
کہ در پہ,2
کے رہنے والو,2
واں بساطِ صحبتِ,2
نکلا دلِ حسرت,2
وجہِ تسلی نہ,2
جہاں سے مٹنا,2
کہ بندھا تھا,2
واں خود آرائی,2
عشق کے انداز,2
کہ جو تھا,2
واں طوفاں تھا,2
سکتا کہ یگانہ,2
نکلا دل مرا,2
ہو کشاکش مگر,2
حال دل پہ,2
عقل و دل,2
پڑا حساب خونِ,2
جیتے رہتے یہی,2
واں وہ فرقِ,2
کیوں ہاں وہ,2
واں چراغاں آبجو,2
کہ بنے ہیں,2
نکلوں گا اپنے,2
واں کرم کو,2
تھمتا جسے غم,2
زانو پر دھرا,2
حالِ دل نہیں,2
سکتا ہے مگر,2
تک باقی نہیں,2
حالِ دل اور,2
ہو وہ اب,2
سے باندھا گیا,2
نکلا اے نو,2
تپاک اہل دنیا,2
پوچھ صبح کرنا,2
ہو یہ اگر,2
ہو کے بھی,2
عشق و مستی,2
عمل ہے بے,2
زادِ زلف ہیں,2
سے باہر ہے,2
تک سوختن کا,2
کہ خوشی سے,2
ہو نظارہ سوز,2
زار زار کیا,2
زخم کے بھرنے,2
باہر ہے دم,2
نگاہ تو نے,2
ہو نہ دیں,2
زار کیا کیجیے,2
زار ہوگا سنا,2
ہو نہ سکی,2
کہ برقِ سوزِ,2
نکل کے صحرا,2
جیے ہم تو,2
کہ بن آئے,2
واں تیغ و,2
عشق کو آزما,2
وفا وجہِ تسلی,2
سے گزر مصر,2
کہ شرمندہٴ معنی,2
ہو حجاب میں,2
کے صحرا سے,2
تو کہیں دو,2
ہمتِِ دشوار پسند,2
زندگی کا تو,2
بن آئے نہ,2
جوشِ قدح سے,2
ہمارے چمن کا,2
عاشق تو ہیں,2
سے تھا دیوار,2
ہمارے خدا کی,2
ہماری قسمت کہ,2
ہماری خبر نہیں,2
پرونے کا خیال,2
کیوں دشنۂ غمزہ,2
ہماری جو تو,2
بنا لے گا,2
پرکاری بے خودی,2
جوّالہ ہر اک,2
کیوں دیر نہیں,2
ہمیں دکھایا یہی,2
ہمیں منظور نہیں,2
بلا ہے مجھے,2
سے ترا کاکلِ,2
ہمیں ستائے کیوں,2
زنداں سے گھبرائیں,2
کیوں غالبؔ خستہ,2
سچ کہتے ہو,2
ہمیں اٹھائے کیوں,2
بلائے کیوں ہاں,2
سے تو زانو,2
نہ دیں گے,2
کیوں روئیں گے,2
پریشاں نکلا دلِ,2
تو کیا نہ,2
ظن رہ گئی,2
بنا کے دیکھ,2
نہ سنگ و,2
کہ چھپ کے,2
کیوں حسن اور,2
ہم وہاں ہیں,2
بندہ بنوں گا,2
ہم ولی سمجھتے,2
ہم نے یہ,2
بندہ پرور کب,2
کیوں جب وہ,2
طوفاں تھا موجِ,2
سے جانا کہ,2
ہم نے سب,2
بنوں میں پھرتے,2
بنوں گا جس,2
جو ہجر میں,2
ہم نے بارہا,2
بندھا تھا عہد,2
زیادہ تو نہیں,2
جوشِ بادہ سے,2
ہم ہزار بار,2
ظلمت شب میں,2
جوشِ اشک سے,2
نہ سکی عشق,2
ظرف ہے ساقی,2
پرور کب تلک,2
کے لیے ہم,2
ہم کہیں گے,2
زہرہٴ ابر آب,2
بند ہیں روئیے,2
بندوں سے پیار,2
طَعمہ ہوں ایک,2
ہم کو قید,2
کہ پھر نہ,2
تو کم ہوئے,2
تھی ہماری قسمت,2
نہ دی تنگیٴ,2
جوہرِ تیغ آب,2
کہ صحرا جل,2
بزمِ بیخودی جلوہٴ,2
جہاں اور ہے,2
جہاں اور بھی,2
پنبہٴ بالش کف,2
عرش واں طوفاں,2
نہ بڑھ جائیں,2
سے بھی پرے,2
پندار کا صنم,2
جہان مے خانہ,2
عذرِ بارش تھا,2
عذر میرے قتل,2
پناہ تیرا ہی,2
زمّرد بھی حریفِ,2
نہ توڑ سکتا,2
والے بنے گا,2
عہد بودا کبھی,2
تھی حال دل,2
بری بلا ہے,2
برہم فنا ہے,2
کہ سمجھائیں گے,2
نہ اچھا ہوا,2
زمانہ آیا ہے,2
ہو جس کے,2
برہنہ پائی وہی,2
کیوں نہ چیخوں,2
سے بھر نہ,2
کے عاشق تو,2
عرضِ متاعِ عقل,2
ہو جاتے ہیں,2
سے بھاگیں گے,2
نہ بادہ خوار,2
پندِ ناصح نے,2
کہ غالب مر,2
والو خدا کی,2
پرے ہوں ورنہ,2
زنجیر سے بھاگیں,2
جگر ودیعتِ مژگانِ,2
نہ جاتے اگر,2
پسند آیا دھمکی,2
تو ہے نہ,2
پسند آیا بہ,2
تھی چمن سے,2
سے تا عرش,2
بسیں گے برہنہ,2
عبادت برق کی,2
ہنسی اب کسی,2
تو ہیں ہزاروں,2
بغیر کون سے,2
عام دیدار یار,2
کہ منہ پھٹ,2
پسند آیا ہوائے,2
تو یوں کہ,2
بساطِ صحبتِ احباب,2
تو یہاں بے,2
نہ تھمتا جسے,2
نہ تھی ہماری,2
بستی دکاں نہیں,2
بستیوں میں آ,2
عدم سے بھی,2
جگر یاد آیا,2
تو یہ جان,2
جگر کو دیکھتے,2
بسمل سے پرافشاں,2
زمیں سے آسماں,2
جگر ہدیہ مبارک,2
جگر کے پار,2
بسکہ جوشِ بادہ,2
سکتا اگر استوار,2
کہ اندوہِ وفا,2
ہوئے پہ غمِ,2
باقی ہے آپ,2
غم بھی ہو,2
غم سمجھ رہے,2
حِس تو غم,2
تھا واں خود,2
ہوشیار ہوگا کیا,2
ہوش و خرد,2
کٹنے کا نہ,2
غم بری بلا,2
ایسی ہی بات,2
تھا واں چراغاں,2
غم اگرچہ جاں,2
ہوس زلفِ سیاہ,2
تھا سنا ہے,2
نظارہ سوز پردے,2
ایک ایک قطرے,2
ایسے امام سے,2
پہ دم نکلے,2
تھا وحشت کا,2
ہوگا دیار مغرب,2
ہوگا نکل کے,2
ہوگا میں ظلمت,2
ہوگا سکوت تھا,2
ہوگا سنا دیا,2
ہوگا سفینۂ برگ,2
غم سے یوں,2
ہوگا خدا کے,2
ایسی کہ جو,2
ہوگا جو ایک,2
ہوگا تمہاری تہذیب,2
سہی جس کو,2
ایسی نماز سے,2
تھا شعلہٴ جوّالہ,2
سیاہ رُخ پہ,2
تھا واں کرم,2
ایک بات پہ,2
ہوگا نہیں ہے,2
ہوتا ہوا جب,2
ایک ہی نفسِ,2
غزل سرا نہ,2
تھا خواب میں,2
کچھ جلا کے,2
نظر لگے نہ,2
کچھ خیال آیا,2
ہوتا ہوئے مر,2
حلقہ مری زنجیر,2
ہوتا ہوئی مدت,2
نظر میں کچھ,2
ہوتا گر جدا,2
ہوتا کہوں کس,2
ورنہ کیا بات,2
ہوتا کوئی میرے,2
سہی تم ہو,2
حلقہٴ گرداب تھا,2
کچھ اور شے,2
کچھ بھی جو,2
حور و خیام,2
ایک بار ہوتا,2
تھا روشن شمعِ,2
کچھ اور ہے,2
ایک تھا اے,2
کچھ ایسی ہی,2
ایک دن معین,2
نظر بھی رہے,2
کیے ہوئے پھر,2
تھا دیوار جو,2
ایک قطرے کا,2
ہوتی جو جگر,2
ہوتی تو کہیں,2
ہوتا یہ کہاں,2
ہوگا نہ پوچھ,2
ہوگا چمن میں,2
رہا ہے خریدار,2
اگر اور جیتے,2
غیر از نمود,2
ہوں ساحل کا,2
تھا ناگہاں اس,2
غنچے کہنے لگے,2
اگر استوار ہوتا,2
اگر اعتبار ہوتا,2
اگر ایک بار,2
پہ ہم غیر,2
کون دیکھ سکتا,2
کون سے کام,2
پہ کہاں بچیں,2
کے انداز چھٹ,2
اگر شرار ہوتا,2
پہ کسی کے,2
تھا مائدہٴ لذتِ,2
اک نفس میں,2
غمِ عشق کو,2
تھا میں مجموعہٴ,2
غیر ہمیں اٹھائے,2
اک دن یہاں,2
کوئی ہمیں ستائے,2
وضع راہ میں,2
ناک میں آتا,2
تھا موتی پرونے,2
غیر کو آزمائے,2
تھا مجھے وہ,2
تھا مرنا اگر,2
ناگہاں اس رنگ,2
خامشی نے آخر,2
نایاب تھا جلوہٴ,2
تھا محرم نہیں,2
پہ ہنسی اب,2
غمِ ہجراں ہوا,2
تھا فرش سے,2
ہوگا کبھی جو,2
غم و شادی,2
نشاں ہوگی آہ,2
غم کیا سر,2
اہل دنیا جل,2
ہوں اور افسوس,2
ہوں اور افسردگی,2
کي اذاں اور,2
ہوگی آہ میری,2
پہ غمِ روزگار,2
ہوگا یہ رسم,2
ہوگا یک بیاباں,2
ہوگا گزر گیا,2
رہ گزر میں,2
ہوگا کیا مرا,2
ہوگا کہا جو,2
ہوں اور ماتمِ,2
غم گسار ہوتا,2
غمِ روزگار تھا,2
ہوں تو ہوں,2
خار ہوگا دیار,2
غمِ الفت اسد,2
خار زار ہوگا,2
سہی سامنے تیرے,2
تھا عہد بودا,2
غمزہ جاں ستاں,2
غمخواری میں میری,2
کے آزاد پاگل,2
تھا عناں گیرِ,2
اگر کیفیت ہے,2
پہ ناز تھا,2
کوہ شگاف تیری,2
اگرچہ جاں گسل,2
سہی یہ جنونِ,2
ہوتا کوئی غم,2
تھا جلوہٴ گل,2
تھا یاں نفس,2
کے دست و,2
تکمیل غم بھی,2
ہوا جب غم,2
رہیں کھائیں گے,2
کیوں ہو یہ,2
بار کوئی ہمیں,2
بار ہوتا ہوئے,2
بار ہوگا نہیں,2
پھر نہ تھمتا,2
ہوا برا نہ,2
نمود کچھ بھی,2
وحشت کا کہ,2
بارش تھا عناں,2
پھر لگا کھلنے,2
سے آتی ہے,2
غالب غزل سرا,2
غالب مر گیا,2
ہوا اسد سینہ,2
بادہ خوار ہوگا,2
نقشِ وفا وجہِ,2
غالب نہ کر,2
ہوا سبزہٴ خط,2
تھا کہ اندوہِ,2
کھلنے آج ہم,2
بادہ خوار ہوتا,2
بادہ خواروں کی,2
ودیعتِ مژگانِ یار,2
کے خواب میں,2
بادہ و جام,2
غالب ناتوانی سے,2
سکی عشق کو,2
نماز بے سرور,2
نماز سے گزر,2
حساب خونِ جگر,2
بارہا ڈھونڈا تم,2
ہوا مرگیا صدمہٴ,2
ہوئے جاتا ہوں,2
ہوئے غالب ہمیں,2
عیش نیام سے,2
رہے ہیں وہ,2
عیسیٰ نہ ہوا,2
تھا یاں سرِ,2
ہوئے جوشِ قدح,2
عیار ہوگا تمہاری,2
سکندری کیا ہے,2
سے آپ ہی,2
ہوئے ان کو,2
کہ اس دکھاوے,2
باقی نہیں آگ,2
ہوئی ہے یار,2
عہد صحرائیوں سے,2
ہوئے مر کے,2
حرم نہیں در,2
نو آموزِ فنا,2
حریفِ دمِ عیسیٰ,2
باز کا تاراجِ,2
کے رات دن,2
غالب آہ جو,2
رہے گی مگر,2
ہوئے کیوں نہ,2
رہے گی کیا,2
وقت ہے شگفتنِ,2
سے آسماں تک,2
حریفِ دمِ افعی,2
بازو کو یہ,2
غافل بارہا میری,2
رہے ہو وہ,2
رہے ہو یہ,2
سکوت تھا پردہ,2
غالب کوئی مجھے,2
حسن اور اس,2
پہ اعتماد ہے,2
حضرتِ ناصح گر,2
غرب تیغ ہلال,2
کچھ نہ کچھ,2
ہوتا اگر اور,2
ہوتا اسے کون,2
کے بھی مرے,2
حضور تیری نماز,2
کچھ ہم نے,2
ہوتا ترے وعدے,2
ہوائے سرِ رہگزار,2
کچھ ہماری خبر,2
اے نو آموزِ,2
اے نگاہ تو,2
اے چارہ گر,2
تھا پر استوار,2
ہوتا تری نازکی,2
نظریں بچا کے,2
رہنے والو خدا,2
پہ آشیانہ بنے,2
تھا جل گیا,2
ہوتا میں تو,2
نظر نہیں آتا,2
نظر نہیں آتی,2
ہوتا غم اگرچہ,2
حق نے کیا,2
کے بغیر کون,2
رہتے یہی انتظار,2
اے دل گناہ,2
کے بندوں سے,2
غرض اس کی,2
پھٹ ہے خار,2
کے بھرنے تلک,2
سیلاب تھا واں,2
نفس جادہٴ سر,2
کھائیں گے کیا,2
نقشِ قدم دیکھتے,2
حسن فرنگ کی,2
بات پر کہنا,2
رہگزار تھا موجِ,2
پھر ہوشیار ہوگا,2
بات کر نہیں,2
کیوں ہیں گرفتارِ,2
رہگزر میں جلوہٴ,2
پھر گریے نے,2
کھرا ہے جسے,2
ہوا پایا حالِ,2
نقش فریادی ہے,2
نقش قدم میرا,2
تھا موجِ سرابِ,2
پھر کسے اعتبار,2
سینہٴ بسمل سے,2
بات پر نہیں,2
ہوا کیا ہے,2
تھا پردہ دار,2
نفس کرتا تھا,2
ورنہ غافل بارہا,2
پھرتے ہیں مارے,2
باب تھا ناگہاں,2
نفس مرا شعلہ,2
نفس میں جہاں,2
تھا اے نگاہ,2
پھرتا ہے داغ,2
نفسِ جاں گداز,2
وعدے پر جیے,2
تھا کس کا,2
ورنہ داغوں کی,2
غالبؔ شرم تم,2
بات جو چپ,2
غالبؔ خستہ کے,2
پرشور بیخوابی سے,2
کیفیت ہے تیری,2
کہ کیا ہے,2
گوش منت کشِ,2
سر کے کٹنے,2
بے نیازی حد,2
کی قدرت ہے,2
گوش منتظر کو,2
و دل فرشِ,2
بے پناہ تیرا,2
و دل عزیز,2
و دل و,2
سرا نہ ہوا,2
نیا خار زار,2
شرمندہٴ معنی نہ,2
سرابِ دشتِ وفا,2
کی موت آتی,2
شرم تم کو,2
شعلہ بار ہوگا,2
نہیں ہے کھرا,2
شرم اپنے پہ,2
ٹپکانے لگا دل,2
سر منزلِ تقویٰ,2
شمار ہوگا جو,2
تیغ و کفن,2
بے غرض اس,2
ٹپکتا وہ لہو,2
تیغ ہلال کی,2
کی طلب عرضِ,2
ِ دل اس,2
بے قرار ہوگا,2
تن سے تو,2
گویا جل گیا,2
نہیں ہے غیر,2
شعلہٴ جوّالہ ہر,2
جدا تن سے,2
نیازی حد سے,2
تا عرش واں,2
نے بارہا ڈھونڈا,2
نے اک دن,2
سنا ہے یہ,2
سے پار ہوگا,2
وہی کیفیت ہے,2
تب و تاب,2
کی کرتا ہوں,2
و دام سے,2
گر جدا تن,2
گلی میں جائے,2
و خیام سے,2
وہی رہے گی,2
نے بادہ خواروں,2
سے پرافشاں نکلا,2
وہ دور ساقی,2
نے بار ہا,2
نے آخر جو,2
تارِ نگہ نایاب,2
شرق و غرب,2
شرار ہوتا غم,2
نیام سے گزر,2
کی نظر میں,2
تمہاری تہذیب اپنے,2
کی نظریں بچا,2
شرار ہوگا نہ,2
گناہ ہے جنبش,2
گر آئیں دیدہ,2
تاراجِ کاوشِ غمِ,2
نیم کش کو,2
نیمروز آپ ہی,2
و در کو,2
سے ٹپکتا وہ,2
جب غم سے,2
نے آئينہ تمثال,2
گاہِ خیالِ مے,2
شمشیر سے باہر,2
شمشیر کا آگہی,2
جس قدر چاہے,2
سحر ہوتے تک,2
جس نے روما,2
گا جس کو,2
